Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","114.054183","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","113.597099","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","115.785785","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","117.371378","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","119.044418","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","116.870769","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","114.926413","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","115.357437","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","114.68503","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","114.891168","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","116.204666","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","2","Afghanistan","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","119.067918","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","101.774101","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","103.69932","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","102.91173","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","103.5243","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","102.91173","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","103.17426","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","102.474181","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","103.08675","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","102.211651","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","102.036631","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","102.82422","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","104.48691","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","113.072351","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","114.699542","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","113.804806","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","112.95817","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","110.056349","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","109.257421","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","108.809937","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","109.280939","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","109.684214","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","109.164438","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","108.74974","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","110.913489","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","111.489","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","110.021624","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","112.004422","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","111.809824","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","113.051045","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","111.909753","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","109.174859","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","111.304921","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","113.855735","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","113.335053","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","110.963059","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","110.615938","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","106.364475","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","106.364475","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","106.272064","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","106.364475","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","106.826527","X","International reliable sources","base year is 2015"
