Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","148.820377","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","150.648304","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","152.267844","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","153.737644","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","155.558234","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","155.382981","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","156.145642","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","157.492224","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","157.875286","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","158.080336","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","158.630646","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5100","Africa","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","159.351751","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","130.926367","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","132.515282","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","135.046916","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","136.437527","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","137.183327","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","138.132876","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","139.355345","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","140.729878","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","142.773458","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","144.004836","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
"CP","Consumer Price Indices","5205","Latin America and the Caribbean","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","146.81743","A","Aggregate, may include official, semi-official, estimated or calculated data","base year is 2015"
