Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","2","Afghanistan","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","57626","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","3","Albania","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","17493","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","4","Algeria","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","0","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","7","Angola","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","276487","","Official data"
"TCL","Crops and livestock products","8","Antigua and Barbuda","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","11648","","Official data"
"TCL","Crops and livestock products","9","Argentina","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","6672","","Official data"
"TCL","Crops and livestock products","1","Armenia","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","44456","","Official data"
"TCL","Crops and livestock products","10","Australia","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","4092","","Official data"
"TCL","Crops and livestock products","11","Austria","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","168335","","Official data"
"TCL","Crops and livestock products","52","Azerbaijan","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","38983","","Official data"
"TCL","Crops and livestock products","12","Bahamas","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","34340","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","13","Bahrain","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","115502","","Official data"
"TCL","Crops and livestock products","16","Bangladesh","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","52","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","14","Barbados","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","2433","","Official data"
"TCL","Crops and livestock products","57","Belarus","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","7188","","Official data"
"TCL","Crops and livestock products","255","Belgium","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","376773","","Official data"
"TCL","Crops and livestock products","23","Belize","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","37","","Official data"
"TCL","Crops and livestock products","53","Benin","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","66120","","Official data"
"TCL","Crops and livestock products","18","Bhutan","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","2821","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","3661","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","80","Bosnia and Herzegovina","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","8405","","Official data"
"TCL","Crops and livestock products","20","Botswana","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","3052","","Official data"
"TCL","Crops and livestock products","21","Brazil","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","11408","","Official data"
"TCL","Crops and livestock products","26","Brunei Darussalam","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","3551","","Official data"
"TCL","Crops and livestock products","27","Bulgaria","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","110552","","Official data"
"TCL","Crops and livestock products","233","Burkina Faso","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","130","","Official data"
"TCL","Crops and livestock products","29","Burundi","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","1","","Official data"
"TCL","Crops and livestock products","35","Cabo Verde","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","14489","","Official data"
"TCL","Crops and livestock products","115","Cambodia","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","78","","Official data"
"TCL","Crops and livestock products","32","Cameroon","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","1796","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","33","Canada","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","279859","","Official data"
"TCL","Crops and livestock products","37","Central African Republic","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","5226","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","39","Chad","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","2558","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","40","Chile","5622","Import Value","1058","Meat, chicken","2019","2019","1000 US$","181655","","Official data"
