Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","58","Ecuador","5622","Import Value","1058","Meat, chicken","2012","2012","1000 US$","18","","Official data"
"TCL","Crops and livestock products","58","Ecuador","5622","Import Value","1058","Meat, chicken","2013","2013","1000 US$","0","*","Unofficial figure"
"TCL","Crops and livestock products","58","Ecuador","5622","Import Value","1058","Meat, chicken","2020","2020","1000 US$","","","Official data"
"TCL","Crops and livestock products","105","Israel","5622","Import Value","1058","Meat, chicken","2012","2012","1000 US$","0","F","FAO estimate"
"TCL","Crops and livestock products","105","Israel","5622","Import Value","1058","Meat, chicken","2013","2013","1000 US$","0","F","FAO estimate"
"TCL","Crops and livestock products","129","Madagascar","5622","Import Value","1058","Meat, chicken","2012","2012","1000 US$","0","*","Unofficial figure"
"TCL","Crops and livestock products","129","Madagascar","5622","Import Value","1058","Meat, chicken","2013","2013","1000 US$","32","","Official data"
"TCL","Crops and livestock products","129","Madagascar","5622","Import Value","1058","Meat, chicken","2014","2014","1000 US$","66","","Official data"
"TCL","Crops and livestock products","129","Madagascar","5622","Import Value","1058","Meat, chicken","2015","2015","1000 US$","26","","Official data"
"TCL","Crops and livestock products","129","Madagascar","5622","Import Value","1058","Meat, chicken","2016","2016","1000 US$","48","","Official data"
"TCL","Crops and livestock products","129","Madagascar","5622","Import Value","1058","Meat, chicken","2020","2020","1000 US$","41","","Official data"
"TCL","Crops and livestock products","169","Paraguay","5622","Import Value","1058","Meat, chicken","2012","2012","1000 US$","186","","Official data"
"TCL","Crops and livestock products","169","Paraguay","5622","Import Value","1058","Meat, chicken","2013","2013","1000 US$","162","","Official data"
"TCL","Crops and livestock products","169","Paraguay","5622","Import Value","1058","Meat, chicken","2014","2014","1000 US$","32","","Official data"
"TCL","Crops and livestock products","169","Paraguay","5622","Import Value","1058","Meat, chicken","2016","2016","1000 US$","54","","Official data"
"TCL","Crops and livestock products","169","Paraguay","5622","Import Value","1058","Meat, chicken","2020","2020","1000 US$","54","","Official data"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5622","Import Value","1058","Meat, chicken","2012","2012","1000 US$","406996","","Official data"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5622","Import Value","1058","Meat, chicken","2013","2013","1000 US$","712351","","Official data"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5622","Import Value","1058","Meat, chicken","2014","2014","1000 US$","965137","","Official data"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5622","Import Value","1058","Meat, chicken","2015","2015","1000 US$","332509","","Official data"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5622","Import Value","1058","Meat, chicken","2016","2016","1000 US$","184749","","Official data"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5622","Import Value","1058","Meat, chicken","2017","2017","1000 US$","58958","","Official data"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5622","Import Value","1058","Meat, chicken","2018","2018","1000 US$","6167","","Official data"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5622","Import Value","1058","Meat, chicken","2020","2020","1000 US$","4612","*","Unofficial figure"
