Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","2","Afghanistan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","18904.490263","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","496.940553","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","2.636658","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","0.289848","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6110","Value US$","22011","Gross National Income","2019","2019","millions","19205.244293","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","504.846446","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","3.197091","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","0.837467","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","15400.237155","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","5345.602513","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","1.608539","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","1.672835","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6110","Value US$","22011","Gross National Income","2019","2019","millions","15198.655753","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","5275.63125","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","0.400686","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","0.464218","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","171158.234285","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","3975.519002","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-2.426783","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-4.295718","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6110","Value US$","22011","Gross National Income","2019","2019","millions","167258.300287","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","3884.934627","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","-2.340788","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-4.21137","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3155.149348","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","40900.53859","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-1.965875","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-2.138708","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6110","Value US$","22011","Gross National Income","2019","2019","millions","3155.149348","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6119","Value US$ per capita","22011","Gross National Income","2019","2019","US$","40900.53859","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6129","Annual growth US$","22011","Gross National Income","2019","2019","%","-1.965875","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","61290","Annual growth US$ per capita","22011","Gross National Income","2019","2019","%","-2.138708","Fc","Calculated data",""
"MK","Macro Indicators","7","Angola","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","89417.18912","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","2809.626403","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-11.776659","Fc","Calculated data",""
"MK","Macro Indicators","7","Angola","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-14.591763","Fc","Calculated data",""
