Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2901","Grand Total","2017","2017","kcal/capita/day","2303","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2270","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2273","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2017","2017","g/capita/day","59.5","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","57.62","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","57.31","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","195","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","189","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","187","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","11.16","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","10.69","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","10.34","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2901","Grand Total","2017","2017","kcal/capita/day","3326","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3296","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3338","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2017","2017","g/capita/day","114.72","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","112.89","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","116.02","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1034","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1001","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1021","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","62.71","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","60.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","62.47","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2901","Grand Total","2017","2017","kcal/capita/day","3383","Fc","Calculated data"
