CreatedTime,EngagedFans,Impressions,NegativeFeedback,NonViralimpressions,NonViralReach,PostActivity,PostActivityUnique,PostClicks,UniquePostClicks,PostReactionsAnger,PostReactionsHaHa,PostReactionsLike,PostReactionsLove,PostReactionsSorry,PostReactionsWow,Reach
2018-01-10 05:15:00,3201,171185,9,58411,42800,5824,4775,2990,2609,3,1,3805,116,2,0,123160
2018-01-10 11:30:00,1068,58241,1,32603,24165,1461,1236,904,817,0,1,952,46,3,1,41653
2018-02-10 05:15:00,3887,228501,6,70256,50517,7242,5901,6107,5159,0,5,4718,148,0,1,163863
2018-02-10 05:30:00,1711,93475,4,40683,29170,2600,2082,1707,1524,0,3,1580,50,0,2,65171
2018-02-10 16:00:00,6295,404263,6,116517,83866,13302,10497,9427,8015,0,14,8763,364,8,3,274118
2018-02-10 19:00:00,575,32199,1,26513,18680,747,634,367,341,0,0,566,9,0,1,22525
2018-02-10 21:01:00,2623,134618,5,51677,36756,5186,4251,2821,2601,0,2,3898,95,2,4,95932
2018-02-10 23:00:00,1539,83999,4,45968,33615,2272,1967,1519,1362,0,0,1637,46,0,2,59933
2018-03-10 05:30:00,1220,66642,5,25338,18069,2310,1835,1271,1064,0,1,1447,57,0,0,46413
2018-03-10 05:45:00,7238,448532,14,107619,77721,19242,15758,11601,9702,1,8,13163,500,6,6,311989
2018-03-10 06:00:00,1307,74929,6,34893,24754,2407,1974,1286,1127,0,3,1717,41,0,0,52977
2018-03-10 06:30:00,4017,262590,10,70784,51279,10098,8292,6247,5570,0,4,6981,270,12,0,186501
2018-03-10 07:00:00,10134,936427,19,126637,91530,32740,27638,23100,19747,6,94,22917,688,8,44,623764
2018-03-10 07:30:00,767,42569,1,22501,16287,1073,870,679,608,0,7,663,16,0,0,30425
2018-03-10 08:00:00,2379,143018,8,52829,37503,4385,3566,2611,2298,4,36,2747,90,5,10,101071
2018-03-10 08:30:00,5233,321804,14,76905,55088,13182,10439,7268,6376,1,3,8705,395,4,6,217824
2018-03-10 09:00:00,4299,277000,13,82834,58915,8312,6799,7106,6211,2,11,5406,186,7,9,196614
2018-03-10 09:30:00,3340,208158,9,65842,47229,6633,5556,4387,4003,2,44,4484,161,2,7,142736
2018-03-10 10:00:00,573,30963,0,20665,14712,770,653,478,433,0,0,500,20,0,1,21355
2018-03-10 11:00:00,11205,980700,26,141261,103687,35430,28416,27406,22957,26,128,23290,768,134,73,637924
2018-03-10 12:00:00,1499,76631,4,41596,30838,1997,1751,1502,1301,1,1,1443,22,0,2,54265
2018-03-10 13:00:00,809,53022,2,31360,22168,1422,1203,851,743,0,3,1027,24,4,3,37444
2018-03-10 13:00:00,7429,506277,16,112982,85352,17930,15484,12640,10529,4,31,12593,544,11,24,341321
2018-03-10 14:00:00,1053,51683,3,31197,22541,1686,1390,1033,923,0,0,1187,43,0,0,35889
2018-03-10 14:30:00,11818,761347,27,150604,106565,31540,25852,17729,15108,12,111,22708,844,23,34,501455
2018-03-10 15:00:00,835,47517,3,30110,21213,1072,898,652,607,0,0,712,24,5,1,32036
2018-03-10 16:00:00,931,53654,5,37427,26928,1637,1442,1035,890,0,1,1223,45,3,1,38008
2018-03-10 16:30:00,5884,392485,15,93621,66758,12781,10357,8170,7367,4,15,8297,254,10,11,270759
2018-03-10 17:00:00,7167,538295,15,118405,87406,18238,15395,13716,11826,4,73,13128,351,10,17,368114
2018-03-10 17:30:00,4003,201248,7,76018,53516,7020,5724,4587,3975,2,14,4865,230,6,6,139845
2018-03-10 18:00:00,716,38373,0,26916,18736,842,678,736,672,0,0,547,30,3,1,27025
2018-03-10 19:00:00,2249,129145,7,43520,30306,4488,3636,2486,2234,1,68,2969,152,0,4,90412
2018-03-10 19:30:00,3284,206525,7,65292,46171,5812,4816,5737,5244,1,4,3903,153,2,2,141238
2018-03-10 20:30:00,4859,242162,12,79111,53875,7949,6746,6720,6096,0,6,5603,217,2,8,165986
