Date,CountryCode,NumberOfFans
2018-09-19,AO,5609
2018-09-19,BE,9856
2018-09-19,BF,41371
2018-09-19,BI,3037
2018-09-19,BJ,12917
2018-09-19,CA,10098
2018-09-19,CD,47524
2018-09-19,CF,4617
2018-09-19,CG,17707
2018-09-19,CH,1627
2018-09-19,CI,106846
2018-09-19,CM,97535
2018-09-19,CN,1471
2018-09-19,DE,3041
2018-09-19,DJ,3184
2018-09-19,DZ,37900
2018-09-19,ES,2414
2018-09-19,FR,69876
2018-09-19,GA,22770
2018-09-19,GB,1896
2018-09-19,GF,1631
2018-09-19,GH,2221
2018-09-19,GN,34873
2018-09-19,GP,5218
2018-09-19,HT,21921
2018-09-19,IT,6554
2018-09-19,KM,4606
2018-09-19,MA,12027
2018-09-19,MG,70417
2018-09-19,ML,39036
2018-09-19,MQ,5282
2018-09-19,MR,3877
2018-09-19,MU,23323
2018-09-19,NC,4834
2018-09-19,NE,9963
2018-09-19,PF,4965
2018-09-19,RE,20403
2018-09-19,RW,1510
2018-09-19,SN,80486
2018-09-19,TD,3181
2018-09-19,TG,9598
2018-09-19,TN,17278
2018-09-19,US,10814
2018-09-19,YT,1904
2018-09-19,ZA,2286
2018-09-20,AO,5622
2018-09-20,BE,9863
2018-09-20,BF,41431
2018-09-20,BI,3041
2018-09-20,BJ,12921
2018-09-20,CA,10113
2018-09-20,CD,47658
2018-09-20,CF,4628
2018-09-20,CG,17754
2018-09-20,CH,1627
2018-09-20,CI,107064
2018-09-20,CM,97704
2018-09-20,CN,1469
2018-09-20,DE,3057
2018-09-20,DJ,3191
2018-09-20,DZ,37959
2018-09-20,ES,2417
2018-09-20,FR,69990
2018-09-20,GA,22804
2018-09-20,GB,1899
2018-09-20,GF,1636
2018-09-20,GH,2226
2018-09-20,GN,34937
2018-09-20,GP,5220
2018-09-20,HT,21981
2018-09-20,IT,6566
2018-09-20,KM,4613
2018-09-20,MA,12035
2018-09-20,MG,70509
2018-09-20,ML,39073
2018-09-20,MQ,5288
2018-09-20,MR,3884
2018-09-20,MU,23370
2018-09-20,NC,4844
2018-09-20,NE,9980
2018-09-20,PF,4976
2018-09-20,RE,20410
2018-09-20,RW,1516
2018-09-20,SN,80600
2018-09-20,TD,3186
2018-09-20,TG,9620
2018-09-20,TN,17297
2018-09-20,US,10829
2018-09-20,YT,1912
2018-09-20,ZA,2291
2018-09-21,AO,5631
2018-09-21,BE,9882
2018-09-21,BF,41483
2018-09-21,BI,3046
2018-09-21,BJ,12932
2018-09-21,CA,10134
2018-09-21,CD,47762
2018-09-21,CF,4636
2018-09-21,CG,17776
2018-09-21,CH,1632
2018-09-21,CI,107295
2018-09-21,CM,97878
2018-09-21,CN,1469
2018-09-21,DE,3063
2018-09-21,DJ,3201
2018-09-21,DZ,37995
2018-09-21,ES,2419
2018-09-21,FR,70094
2018-09-21,GA,22830
2018-09-21,GB,1908
2018-09-21,GF,1638
2018-09-21,GH,2231
2018-09-21,GN,35010
2018-09-21,GP,5229
2018-09-21,HT,22029
2018-09-21,IT,6576
2018-09-21,KM,4618
2018-09-21,MA,12052
2018-09-21,MG,70604
2018-09-21,ML,39123
2018-09-21,MQ,5292
2018-09-21,MR,3891
2018-09-21,MU,23407
2018-09-21,NC,4847
2018-09-21,NE,9999
2018-09-21,PF,4985
2018-09-21,RE,20431
2018-09-21,RW,1520
2018-09-21,SN,80719
2018-09-21,TD,3190
2018-09-21,TG,9634
2018-09-21,TN,17302
2018-09-21,US,10832
2018-09-21,YT,1914
2018-09-21,ZA,2301
2018-09-22,AO,5648
2018-09-22,BE,9905
2018-09-22,BF,41562
2018-09-22,BI,3052
2018-09-22,BJ,12937
2018-09-22,CA,10147
2018-09-22,CD,47842
2018-09-22,CF,4647
2018-09-22,CG,17806
2018-09-22,CH,1635
2018-09-22,CI,107454
2018-09-22,CM,98019
2018-09-22,CN,1469
2018-09-22,DE,3065
2018-09-22,DJ,3208
2018-09-22,DZ,38022
2018-09-22,ES,2423
2018-09-22,FR,70243
2018-09-22,GA,22864
2018-09-22,GB,1911
2018-09-22,GF,1640
2018-09-22,GH,2237
2018-09-22,GN,35064
2018-09-22,GP,5226
2018-09-22,HT,22069
2018-09-22,IT,6579
2018-09-22,KM,4629
2018-09-22,MA,12071
2018-09-22,MG,70666
2018-09-22,ML,39160
2018-09-22,MQ,5293
2018-09-22,MR,3902
2018-09-22,MU,23445
2018-09-22,NC,4850
2018-09-22,NE,10013
2018-09-22,PF,4992
2018-09-22,RE,20451
2018-09-22,RW,1526
2018-09-22,SN,80830
2018-09-22,TD,3192
2018-09-22,TG,9645
2018-09-22,TN,17322
2018-09-22,US,10841
2018-09-22,YT,1917
2018-09-22,ZA,2306
2018-09-23,AO,5658
2018-09-23,BE,9919
2018-09-23,BF,41617
2018-09-23,BI,3053
2018-09-23,BJ,12945
2018-09-23,CA,10157
2018-09-23,CD,47917
2018-09-23,CF,4656
2018-09-23,CG,17831
2018-09-23,CH,1637
2018-09-23,CI,107630
2018-09-23,CM,98137
2018-09-23,CN,1470
2018-09-23,DE,3069
2018-09-23,DJ,3212
2018-09-23,DZ,38071
2018-09-23,ES,2427
2018-09-23,FR,70345
2018-09-23,GA,22908
2018-09-23,GB,1915
2018-09-23,GF,1644
2018-09-23,GH,2237
2018-09-23,GN,35139
2018-09-23,GP,5230
2018-09-23,HT,22111
2018-09-23,IT,6584
2018-09-23,KM,4643
2018-09-23,MA,12084
2018-09-23,MG,70762
2018-09-23,ML,39228
2018-09-23,MQ,5296
2018-09-23,MR,3908
2018-09-23,MU,23478
2018-09-23,NC,4855
2018-09-23,NE,10025
2018-09-23,PF,5004
2018-09-23,RE,20465
2018-09-23,RW,1528
2018-09-23,SN,80940
2018-09-23,TD,3197
2018-09-23,TG,9651
2018-09-23,TN,17349
2018-09-23,US,10855
2018-09-23,YT,1923
2018-09-23,ZA,2315
2018-09-24,AO,5672
2018-09-24,BE,9930
2018-09-24,BF,41687
2018-09-24,BI,3058
2018-09-24,BJ,12967
2018-09-24,CA,10171
2018-09-24,CD,48015
2018-09-24,CF,4668
2018-09-24,CG,17865
2018-09-24,CH,1638
2018-09-24,CI,107794
2018-09-24,CM,98283
2018-09-24,CN,1470
2018-09-24,DE,3075
2018-09-24,DJ,3212
2018-09-24,DZ,38103
2018-09-24,ES,2430
2018-09-24,FR,70430
2018-09-24,GA,22949
2018-09-24,GB,1917
2018-09-24,GF,1643
2018-09-24,GH,2238
2018-09-24,GN,35214
2018-09-24,GP,5237
2018-09-24,HT,22154
2018-09-24,IT,6591
2018-09-24,KM,4654
2018-09-24,MA,12093
2018-09-24,MG,70842
2018-09-24,ML,39291
2018-09-24,MQ,5308
2018-09-24,MR,3921
2018-09-24,MU,23513
2018-09-24,NC,4864
2018-09-24,NE,10038
2018-09-24,PF,5014
2018-09-24,RE,20481
2018-09-24,RW,1531
2018-09-24,SN,81061
2018-09-24,TD,3199
2018-09-24,TG,9664
2018-09-24,TN,17372
2018-09-24,US,10874
2018-09-24,YT,1927
2018-09-24,ZA,2320
2018-09-25,AO,5691
2018-09-25,BE,9952
2018-09-25,BF,41776
2018-09-25,BI,3069
2018-09-25,BJ,12983
2018-09-25,CA,10197
2018-09-25,CD,48098
2018-09-25,CF,4669
2018-09-25,CG,17883
2018-09-25,CH,1637
2018-09-25,CI,107962
2018-09-25,CM,98404
2018-09-25,CN,1470
2018-09-25,DE,3082
2018-09-25,DJ,3222
2018-09-25,DZ,38125
2018-09-25,ES,2428
2018-09-25,FR,70644
2018-09-25,GA,22992
2018-09-25,GB,1923
2018-09-25,GF,1643
2018-09-25,GH,2244
2018-09-25,GN,35259
2018-09-25,GP,5249
2018-09-25,HT,22190
2018-09-25,IT,6605
2018-09-25,KM,4664
2018-09-25,MA,12119
2018-09-25,MG,70909
2018-09-25,ML,39319
2018-09-25,MQ,5310
2018-09-25,MR,3925
2018-09-25,MU,23558
2018-09-25,NC,4873
2018-09-25,NE,10053
2018-09-25,PF,5013
2018-09-25,RE,20494
2018-09-25,RW,1527
2018-09-25,SN,81182
2018-09-25,TD,3197
2018-09-25,TG,9679
2018-09-25,TN,17390
2018-09-25,US,10904
2018-09-25,YT,1921
2018-09-25,ZA,2332
2018-09-26,AO,5696
2018-09-26,BE,9972
2018-09-26,BF,41829
2018-09-26,BI,3075
2018-09-26,BJ,12997
2018-09-26,CA,10218
2018-09-26,CD,48200
2018-09-26,CF,4667
2018-09-26,CG,17900
2018-09-26,CH,1643
2018-09-26,CI,108126
2018-09-26,CM,98544
2018-09-26,CN,1470
2018-09-26,DE,3085
2018-09-26,DJ,3228
2018-09-26,DZ,38167
2018-09-26,ES,2428
2018-09-26,FR,70776
2018-09-26,GA,23029
2018-09-26,GB,1928
2018-09-26,GF,1644
2018-09-26,GH,2244
2018-09-26,GN,35318
2018-09-26,GP,5260
2018-09-26,HT,22234
2018-09-26,IT,6612
2018-09-26,KM,4673
2018-09-26,MA,12133
2018-09-26,MG,70997
2018-09-26,ML,39379
2018-09-26,MQ,5314
2018-09-26,MR,3941
2018-09-26,MU,23592
2018-09-26,NC,4877
2018-09-26,NE,10066
2018-09-26,PF,5015
2018-09-26,RE,20508
2018-09-26,RW,1527
2018-09-26,SN,81272
2018-09-26,TD,3197
2018-09-26,TG,9688
2018-09-26,TN,17403
2018-09-26,US,10924
2018-09-26,YT,1919
2018-09-26,ZA,2344
2018-09-27,AO,5705
2018-09-27,BE,9982
2018-09-27,BF,41885
2018-09-27,BI,3084
2018-09-27,BJ,13014
2018-09-27,CA,10227
2018-09-27,CD,48297
2018-09-27,CF,4678
2018-09-27,CG,17926
2018-09-27,CH,1642
2018-09-27,CI,108310
2018-09-27,CM,98703
2018-09-27,CN,1473
2018-09-27,DE,3085
2018-09-27,DJ,3232
2018-09-27,DZ,38214
2018-09-27,ES,2435
2018-09-27,FR,70857
2018-09-27,GA,23072
2018-09-27,GB,1930
2018-09-27,GF,1646
2018-09-27,GH,2247
2018-09-27,GN,35399
2018-09-27,GP,5268
2018-09-27,HT,22280
2018-09-27,IT,6619
2018-09-27,KM,4688
2018-09-27,MA,12134
2018-09-27,MG,71081
2018-09-27,ML,39432
2018-09-27,MQ,5328
2018-09-27,MR,3946
2018-09-27,MU,23627
