Date,City,CountryCode,NumberOfFans
9/19/2018,Abidjan,CI,85759
9/19/2018,Alger,DZ,10917
9/19/2018,Antananarivo,MG,38085
9/19/2018,Bamako,ML,31353
9/19/2018,Bangui,CF,4349
9/19/2018,Bobo-Dioulasso,BF,4532
9/19/2018,Bouake ,CI,3108
9/19/2018,Brazzaville,CD,10210
9/19/2018,Bujumbura,BI,2525
9/19/2018,Bejaia,DZ,2300
9/19/2018,Casablanca,MA,3891
9/19/2018,Cocody,CI,2556
9/19/2018,Conakry,GN,30445
9/19/2018,Cotonou,BJ,9236
9/19/2018,Dakar,SN,51371
9/19/2018,Djibouti (ville),DJ,3078
9/19/2018,Douala,CM,44514
9/19/2018,Fianarantsoa,MG,2316
9/19/2018,Jaunde,CM,12689
9/19/2018,Kinshasa,CD,31351
9/19/2018,Libreville,GA,19166
9/19/2018,Lome,TG,8912
9/19/2018,Luanda,AO,4527
9/19/2018,Lubumbashi,CD,5497
9/19/2018,Montreal,CA,2825
9/19/2018,Moroni,KM,2931
9/19/2018,N'Djamena,TD,2865
9/19/2018,Ngaoundere,CM,2247
9/19/2018,Niamey,NE,7867
9/19/2018,Nouakchott,MR,3384
9/19/2018,Noumea,NC,2905
9/19/2018,Oran,DZ,2852
9/19/2018,Ouagadougou,BF,31566
9/19/2018,Paris,FR,15878
9/19/2018,Pointe-Noire,CD,6335
9/19/2018,Port-Louis,MU,7047
9/19/2018,Port-au-Prince,HT,11065
9/19/2018,Brussels,BE,2570
9/19/2018,Saint-Denis (La Reunion),RE,3730
9/19/2018,Saint-Pierre (La Reunion),RE,2281
9/19/2018,Tananarive,MG,7101
9/19/2018,Thies,SN,3832
9/19/2018,Tizi Ouzou,DZ,2398
9/19/2018,Tunis,TN,6586
9/19/2018,Yaounde,CM,19800
9/20/2018,Abidjan,CI,85663
9/20/2018,Alger,DZ,10723
9/20/2018,Antananarivo,MG,38115
9/20/2018,Bamako,ML,31282
9/20/2018,Bangui,CF,4363
9/20/2018,Bobo-Dioulasso,BF,4512
9/20/2018,Bouake ,CI,3132
9/20/2018,Brazzaville,CD,10229
9/20/2018,Bujumbura,BI,2527
9/20/2018,Bejaia,DZ,2287
9/20/2018,Casablanca,MA,3904
9/20/2018,Cocody,CI,2639
9/20/2018,Conakry,GN,30463
9/20/2018,Cotonou,BJ,9231
9/20/2018,Dakar,SN,51405
9/20/2018,Djibouti (ville),DJ,3084
9/20/2018,Douala,CM,44439
9/20/2018,Fianarantsoa,MG,2324
9/20/2018,Jaunde,CM,12592
9/20/2018,Kinshasa,CD,31449
9/20/2018,Libreville,GA,19168
9/20/2018,Lome,TG,8930
9/20/2018,Luanda,AO,4541
9/20/2018,Lubumbashi,CD,5503
9/20/2018,Montreal,CA,2829
9/20/2018,Moroni,KM,2941
9/20/2018,N'Djamena,TD,2871
9/20/2018,Ngaoundere,CM,2260
9/20/2018,Niamey,NE,7850
9/20/2018,Nouakchott,MR,3386
9/20/2018,Noumea,NC,2917
9/20/2018,Oran,DZ,3002
9/20/2018,Ouagadougou,BF,31603
9/20/2018,Paris,FR,15919
9/20/2018,Pointe-Noire,CD,6349
9/20/2018,Port-Louis,MU,7092
9/20/2018,Port-au-Prince,HT,11063
9/20/2018,Brussels,BE,2569
9/20/2018,Saint-Denis (La Reunion),RE,3734
9/20/2018,Saint-Pierre (La Reunion),RE,2277
9/20/2018,Tananarive,MG,7126
9/20/2018,Thies,SN,3836
9/20/2018,Tizi Ouzou,DZ,2419
9/20/2018,Tunis,TN,6612
9/20/2018,Yaounde,CM,20039
9/21/2018,Abidjan,CI,85670
9/21/2018,Alger,DZ,10662
9/21/2018,Antananarivo,MG,38246
9/21/2018,Bamako,ML,31250
9/21/2018,Bangui,CF,4370
9/21/2018,Bobo-Dioulasso,BF,4532
9/21/2018,Bouake ,CI,3152
9/21/2018,Brazzaville,CD,10232
9/21/2018,Bujumbura,BI,2534
9/21/2018,Bejaia,DZ,2307
9/21/2018,Casablanca,MA,3917
9/21/2018,Cocody,CI,2707
9/21/2018,Conakry,GN,30524
9/21/2018,Cotonou,BJ,9234
9/21/2018,Dakar,SN,51481
9/21/2018,Djibouti (ville),DJ,3095
9/21/2018,Douala,CM,44638
9/21/2018,Fianarantsoa,MG,2337
9/21/2018,Jaunde,CM,12502
9/21/2018,Kinshasa,CD,31538
9/21/2018,Libreville,GA,19174
9/21/2018,Lome,TG,8946
9/21/2018,Luanda,AO,4544
9/21/2018,Lubumbashi,CD,5500
9/21/2018,Montreal,CA,2842
9/21/2018,Moroni,KM,2967
9/21/2018,N'Djamena,TD,2873
9/21/2018,Ngaoundere,CM,2277
