Date,City,CountryCode,NumberOfFans
2018-09-19,Luanda,AO,4527
2018-09-20,Luanda,AO,4541
2018-09-21,Luanda,AO,4544
2018-09-22,Luanda,AO,4545
2018-09-23,Luanda,AO,4554
2018-09-24,Luanda,AO,4561
2018-09-25,Luanda,AO,4574
2018-09-26,Luanda,AO,4577
2018-09-27,Luanda,AO,4579
2018-09-28,Luanda,AO,4593
2018-09-29,Luanda,AO,4603
2018-09-30,Luanda,AO,4614
2018-10-01,Luanda,AO,4622
2018-10-02,Luanda,AO,4639
2018-10-03,Luanda,AO,4638
2018-10-04,Luanda,AO,4648
2018-10-05,Luanda,AO,4654
2018-10-06,Luanda,AO,4662
2018-10-07,Luanda,AO,4673
2018-10-08,Luanda,AO,4687
2018-10-09,Luanda,AO,4705
2018-10-10,Luanda,AO,4723
2018-10-11,Luanda,AO,4736
2018-10-12,Luanda,AO,4762
2018-10-13,Luanda,AO,4767
2018-10-14,Luanda,AO,4784
2018-10-15,Luanda,AO,4805
2018-10-16,Luanda,AO,4830
2018-09-19,Brussels,BE,2570
2018-09-20,Brussels,BE,2569
2018-09-21,Brussels,BE,2566
2018-09-22,Brussels,BE,2567
2018-09-23,Brussels,BE,2571
2018-09-24,Brussels,BE,2576
2018-09-25,Brussels,BE,2600
2018-09-26,Brussels,BE,2603
2018-09-27,Brussels,BE,2603
2018-09-28,Brussels,BE,2606
2018-09-29,Brussels,BE,2608
2018-09-30,Brussels,BE,2607
2018-10-01,Brussels,BE,2609
2018-10-02,Brussels,BE,2609
2018-10-03,Brussels,BE,2634
2018-10-04,Brussels,BE,2637
2018-10-05,Brussels,BE,2638
2018-10-06,Brussels,BE,2639
2018-10-07,Brussels,BE,2630
2018-10-08,Brussels,BE,2632
2018-10-09,Brussels,BE,2657
2018-10-10,Brussels,BE,2661
2018-10-11,Brussels,BE,2678
2018-10-12,Brussels,BE,2677
2018-10-13,Brussels,BE,2678
2018-10-14,Brussels,BE,2684
2018-10-15,Brussels,BE,2688
2018-10-16,Brussels,BE,2681
2018-09-19,Ouagadougou,BF,31566
2018-09-20,Ouagadougou,BF,31603
2018-09-21,Ouagadougou,BF,31585
2018-09-22,Ouagadougou,BF,31580
2018-09-23,Ouagadougou,BF,31616
2018-09-24,Ouagadougou,BF,31671
2018-09-25,Ouagadougou,BF,31230
2018-09-26,Ouagadougou,BF,31012
2018-09-27,Ouagadougou,BF,31049
2018-09-28,Ouagadougou,BF,30881
2018-09-29,Ouagadougou,BF,30930
2018-09-30,Ouagadougou,BF,30764
2018-10-01,Ouagadougou,BF,30806
2018-10-02,Ouagadougou,BF,30628
2018-10-03,Ouagadougou,BF,30293
2018-10-04,Ouagadougou,BF,30345
2018-10-05,Ouagadougou,BF,30400
2018-10-06,Ouagadougou,BF,30460
2018-10-07,Ouagadougou,BF,30394
2018-10-08,Ouagadougou,BF,30445
2018-10-09,Ouagadougou,BF,30422
2018-10-10,Ouagadougou,BF,30384
2018-10-11,Ouagadougou,BF,30458
2018-10-12,Ouagadougou,BF,30499
2018-10-13,Ouagadougou,BF,30562
2018-10-14,Ouagadougou,BF,30639
2018-10-15,Ouagadougou,BF,30768
2018-10-16,Ouagadougou,BF,30909
2018-09-19,Bobo-Dioulasso,BF,4532
2018-09-20,Bobo-Dioulasso,BF,4512
2018-09-21,Bobo-Dioulasso,BF,4532
2018-09-22,Bobo-Dioulasso,BF,4564
2018-09-23,Bobo-Dioulasso,BF,4575
2018-09-24,Bobo-Dioulasso,BF,4586
2018-09-25,Bobo-Dioulasso,BF,4690
2018-09-26,Bobo-Dioulasso,BF,4759
2018-09-27,Bobo-Dioulasso,BF,4769
2018-09-28,Bobo-Dioulasso,BF,4790
2018-09-29,Bobo-Dioulasso,BF,4796
2018-09-30,Bobo-Dioulasso,BF,4831
2018-10-01,Bobo-Dioulasso,BF,4835
2018-10-02,Bobo-Dioulasso,BF,4874
2018-10-03,Bobo-Dioulasso,BF,4938
2018-10-04,Bobo-Dioulasso,BF,4950
2018-10-05,Bobo-Dioulasso,BF,4963
2018-10-06,Bobo-Dioulasso,BF,4971
2018-10-07,Bobo-Dioulasso,BF,4991
2018-10-08,Bobo-Dioulasso,BF,5004
2018-10-09,Bobo-Dioulasso,BF,5028
2018-10-10,Bobo-Dioulasso,BF,5074
2018-10-11,Bobo-Dioulasso,BF,5088
2018-10-12,Bobo-Dioulasso,BF,5100
2018-10-13,Bobo-Dioulasso,BF,5112
2018-10-14,Bobo-Dioulasso,BF,5111
2018-10-15,Bobo-Dioulasso,BF,5110
2018-10-16,Bobo-Dioulasso,BF,5133
2018-09-19,Bujumbura,BI,2525
2018-09-20,Bujumbura,BI,2527
2018-09-21,Bujumbura,BI,2534
2018-09-22,Bujumbura,BI,2536
2018-09-23,Bujumbura,BI,2538
2018-09-24,Bujumbura,BI,2543
2018-09-25,Bujumbura,BI,2544
2018-09-26,Bujumbura,BI,2548
2018-09-27,Bujumbura,BI,2554
2018-09-28,Bujumbura,BI,2558
2018-09-29,Bujumbura,BI,2562
2018-09-30,Bujumbura,BI,2563
2018-10-01,Bujumbura,BI,2566
2018-10-02,Bujumbura,BI,2568
2018-10-03,Bujumbura,BI,2574
2018-10-04,Bujumbura,BI,2581
2018-10-05,Bujumbura,BI,2587
2018-10-06,Bujumbura,BI,2594
2018-10-07,Bujumbura,BI,2596
2018-10-08,Bujumbura,BI,2601
2018-10-09,Bujumbura,BI,2602
2018-10-10,Bujumbura,BI,2599
2018-10-11,Bujumbura,BI,2603
2018-10-12,Bujumbura,BI,2610
2018-10-13,Bujumbura,BI,2615
2018-10-14,Bujumbura,BI,2623
2018-10-15,Bujumbura,BI,2636
2018-10-16,Bujumbura,BI,2661
2018-09-19,Cotonou,BJ,9236
2018-09-20,Cotonou,BJ,9231
2018-09-21,Cotonou,BJ,9234
2018-09-22,Cotonou,BJ,9247
2018-09-23,Cotonou,BJ,9253
2018-09-24,Cotonou,BJ,9265
2018-09-25,Cotonou,BJ,9291
2018-09-26,Cotonou,BJ,9293
2018-09-27,Cotonou,BJ,9306
2018-09-28,Cotonou,BJ,9314
2018-09-29,Cotonou,BJ,9328
2018-09-30,Cotonou,BJ,9345
2018-10-01,Cotonou,BJ,9359
2018-10-02,Cotonou,BJ,9396
2018-10-03,Cotonou,BJ,9417
2018-10-04,Cotonou,BJ,9426
2018-10-05,Cotonou,BJ,9440
2018-10-06,Cotonou,BJ,9458
2018-10-07,Cotonou,BJ,9473
2018-10-08,Cotonou,BJ,9502
2018-10-09,Cotonou,BJ,9517
2018-10-10,Cotonou,BJ,9551
2018-10-11,Cotonou,BJ,9561
2018-10-12,Cotonou,BJ,9578
2018-10-13,Cotonou,BJ,9592
2018-10-14,Cotonou,BJ,9625
2018-10-15,Cotonou,BJ,9710
2018-10-16,Cotonou,BJ,9559
2018-09-19,Montreal,CA,2825
2018-09-20,Montreal,CA,2829
2018-09-21,Montreal,CA,2842
2018-09-22,Montreal,CA,2846
2018-09-23,Montreal,CA,2847
2018-09-24,Montreal,CA,2849
2018-09-25,Montreal,CA,2863
2018-09-26,Montreal,CA,2877
2018-09-27,Montreal,CA,2879
2018-09-28,Montreal,CA,2878
2018-09-29,Montreal,CA,2884
2018-09-30,Montreal,CA,2887
2018-10-01,Montreal,CA,2891
2018-10-02,Montreal,CA,2883
2018-10-03,Montreal,CA,2898
2018-10-04,Montreal,CA,2902
2018-10-05,Montreal,CA,2903
2018-10-06,Montreal,CA,2903
2018-10-07,Montreal,CA,2903
2018-10-08,Montreal,CA,2907
2018-10-09,Montreal,CA,2919
2018-10-10,Montreal,CA,2913
2018-10-11,Montreal,CA,2914
2018-10-12,Montreal,CA,2918
2018-10-13,Montreal,CA,2925
2018-10-14,Montreal,CA,2932
2018-10-15,Montreal,CA,2924
2018-10-16,Montreal,CA,2934
2018-09-19,Kinshasa,CD,31351
2018-09-20,Kinshasa,CD,31449
2018-09-21,Kinshasa,CD,31538
2018-09-22,Kinshasa,CD,31591
2018-09-23,Kinshasa,CD,31646
2018-09-24,Kinshasa,CD,31713
2018-09-25,Kinshasa,CD,31765
2018-09-26,Kinshasa,CD,31845
2018-09-27,Kinshasa,CD,31917
2018-09-28,Kinshasa,CD,31987
2018-09-29,Kinshasa,CD,32049
2018-09-30,Kinshasa,CD,32103
2018-10-01,Kinshasa,CD,32174
2018-10-02,Kinshasa,CD,32269
2018-10-03,Kinshasa,CD,32312
2018-10-04,Kinshasa,CD,32383
2018-10-05,Kinshasa,CD,32476
2018-10-06,Kinshasa,CD,32552
2018-10-07,Kinshasa,CD,32644
2018-10-08,Kinshasa,CD,32737
2018-10-09,Kinshasa,CD,32813
2018-10-10,Kinshasa,CD,32866
2018-10-11,Kinshasa,CD,32962
2018-10-12,Kinshasa,CD,33066
2018-10-13,Kinshasa,CD,33164
2018-10-14,Kinshasa,CD,33288
2018-10-15,Kinshasa,CD,33305
2018-10-16,Kinshasa,CD,33390
2018-09-19,Lubumbashi,CD,5497
2018-09-20,Lubumbashi,CD,5503
2018-09-21,Lubumbashi,CD,5500
2018-09-22,Lubumbashi,CD,5507
2018-09-23,Lubumbashi,CD,5515
2018-09-24,Lubumbashi,CD,5526
2018-09-25,Lubumbashi,CD,5514
2018-09-26,Lubumbashi,CD,5524
2018-09-27,Lubumbashi,CD,5536
2018-09-28,Lubumbashi,CD,5541
2018-09-29,Lubumbashi,CD,5553
2018-09-30,Lubumbashi,CD,5570
2018-10-01,Lubumbashi,CD,5576
2018-10-02,Lubumbashi,CD,5588
2018-10-03,Lubumbashi,CD,5602
2018-10-04,Lubumbashi,CD,5616
2018-10-05,Lubumbashi,CD,5628
2018-10-06,Lubumbashi,CD,5638
2018-10-07,Lubumbashi,CD,5652
2018-10-08,Lubumbashi,CD,5670
