Date,Language,CountryCode,NumberOfFans
2018-09-19,af,ZA,17
2018-09-19,ar,AR,4456
2018-09-19,az,AZ,18
2018-09-19,bg,BG,20
2018-09-19,bn,IN,36
2018-09-19,ca,ES,16
2018-09-19,da,DK,38
2018-09-19,de,DE,1004
2018-09-19,el,GR,41
2018-09-19,en,GB,10000
2018-09-19,en,US,36982
2018-09-19,es,ES,1308
2018-09-19,es,LA,1879
2018-09-19,fa,IR,13
2018-09-19,ff,NG,250
2018-09-19,fi,FI,17
2018-09-19,fr,CA,11865
2018-09-19,fr,FR,850244
2018-09-19,ha,NG,50
2018-09-19,he,IL,36
2018-09-19,hi,IN,52
2018-09-19,ht,HT,290
2018-09-19,hu,HU,19
2018-09-19,id,ID,131
2018-09-19,it,IT,2709
2018-09-19,ja,JP,13
2018-09-19,mg,MG,532
2018-09-19,nb,NO,36
2018-09-19,nl,BE,58
2018-09-19,nl,NL,320
2018-09-19,pl,PL,40
2018-09-19,pt,BR,1459
2018-09-19,pt,PT,2650
2018-09-19,ro,RO,148
2018-09-19,ru,RU,109
2018-09-19,rw,RW,41
2018-09-19,so,SO,25
2018-09-19,sq,AL,21
2018-09-19,sv,SE,116
2018-09-19,sw,KE,148
2018-09-19,th,TH,55
2018-09-19,tr,TR,119
2018-09-19,tz,MA,30
2018-09-19,vi,VN,25
2018-09-19,zh,CN,41
2018-09-20,af,ZA,17
2018-09-20,ar,AR,4464
2018-09-20,az,AZ,20
2018-09-20,bg,BG,20
2018-09-20,bn,IN,36
2018-09-20,ca,ES,16
2018-09-20,da,DK,38
2018-09-20,de,DE,1013
2018-09-20,el,GR,41
2018-09-20,en,GB,10010
2018-09-20,en,US,37036
2018-09-20,es,ES,1310
2018-09-20,es,LA,1899
2018-09-20,ff,NG,252
2018-09-20,fi,FI,17
2018-09-20,fr,CA,11888
2018-09-20,fr,FR,851622
2018-09-20,ha,NG,49
2018-09-20,he,IL,35
2018-09-20,hi,IN,52
2018-09-20,ht,HT,293
2018-09-20,hu,HU,19
2018-09-20,id,ID,129
2018-09-20,it,IT,2712
2018-09-20,ja,JP,13
2018-09-20,mg,MG,531
2018-09-20,nb,NO,36
2018-09-20,nl,BE,58
2018-09-20,nl,NL,321
2018-09-20,pl,PL,40
2018-09-20,pt,BR,1464
2018-09-20,pt,PT,2655
2018-09-20,ro,RO,148
2018-09-20,ru,RU,109
2018-09-20,rw,RW,40
2018-09-20,so,SO,26
2018-09-20,sq,AL,21
2018-09-20,sv,SE,116
2018-09-20,sw,KE,149
2018-09-20,ta,IN,13
2018-09-20,th,TH,55
2018-09-20,tr,TR,118
2018-09-20,tz,MA,31
2018-09-20,vi,VN,25
2018-09-20,zh,CN,41
2018-09-21,af,ZA,17
2018-09-21,ar,AR,4475
2018-09-21,az,AZ,19
2018-09-21,bg,BG,20
2018-09-21,bn,IN,37
2018-09-21,ca,ES,16
2018-09-21,da,DK,38
2018-09-21,de,DE,1013
2018-09-21,el,GR,42
2018-09-21,en,GB,10024
2018-09-21,en,US,37110
2018-09-21,es,ES,1314
2018-09-21,es,LA,1892
2018-09-21,fa,IR,14
2018-09-21,ff,NG,252
2018-09-21,fi,FI,17
2018-09-21,fr,CA,11912
2018-09-21,fr,FR,852975
2018-09-21,ha,NG,49
2018-09-21,he,IL,35
2018-09-21,hi,IN,52
2018-09-21,ht,HT,292
2018-09-21,hu,HU,19
2018-09-21,id,ID,130
2018-09-21,it,IT,2712
2018-09-21,ja,JP,13
2018-09-21,mg,MG,538
2018-09-21,nb,NO,36
2018-09-21,nl,BE,58
2018-09-21,nl,NL,322
2018-09-21,pl,PL,41
2018-09-21,pt,BR,1471
2018-09-21,pt,PT,2661
2018-09-21,ro,RO,148
2018-09-21,ru,RU,109
2018-09-21,rw,RW,40
2018-09-21,so,SO,25
2018-09-21,sq,AL,21
2018-09-21,sv,SE,116
2018-09-21,sw,KE,148
2018-09-21,th,TH,55
2018-09-21,tr,TR,118
2018-09-21,tz,MA,31
2018-09-21,vi,VN,25
2018-09-21,zh,CN,41
2018-09-22,af,ZA,17
2018-09-22,ar,AR,4481
2018-09-22,az,AZ,21
2018-09-22,bg,BG,20
2018-09-22,bn,IN,37
2018-09-22,ca,ES,16
2018-09-22,da,DK,38
2018-09-22,de,DE,1020
2018-09-22,el,GR,42
2018-09-22,en,GB,10045
2018-09-22,en,US,37184
2018-09-22,es,ES,1315
2018-09-22,es,LA,1910
2018-09-22,fa,IR,14
2018-09-22,ff,NG,251
2018-09-22,fi,FI,17
2018-09-22,fr,CA,11921
2018-09-22,fr,FR,854147
2018-09-22,ha,NG,49
2018-09-22,he,IL,36
2018-09-22,hi,IN,53
2018-09-22,ht,HT,293
2018-09-22,hu,HU,19
2018-09-22,id,ID,132
2018-09-22,it,IT,2716
2018-09-22,ja,JP,13
2018-09-22,mg,MG,537
2018-09-22,nb,NO,36
2018-09-22,nl,BE,58
2018-09-22,nl,NL,322
2018-09-22,pl,PL,41
2018-09-22,pt,BR,1477
2018-09-22,pt,PT,2676
2018-09-22,ro,RO,149
2018-09-22,ru,RU,110
2018-09-22,rw,RW,40
2018-09-22,so,SO,25
2018-09-22,sq,AL,21
2018-09-22,sv,SE,117
2018-09-22,sw,KE,148
2018-09-22,th,TH,55
2018-09-22,tr,TR,119
2018-09-22,tz,MA,32
2018-09-22,vi,VN,25
2018-09-22,zh,CN,41
2018-09-23,af,ZA,17
2018-09-23,ar,AR,4491
2018-09-23,az,AZ,21
2018-09-23,bg,BG,20
2018-09-23,bn,IN,37
2018-09-23,ca,ES,16
2018-09-23,da,DK,38
2018-09-23,de,DE,1019
2018-09-23,el,GR,42
2018-09-23,en,GB,10064
2018-09-23,en,US,37257
2018-09-23,es,ES,1316
2018-09-23,es,LA,1908
2018-09-23,fa,IR,14
2018-09-23,ff,NG,258
2018-09-23,fi,FI,17
2018-09-23,fr,CA,11929
2018-09-23,fr,FR,855416
2018-09-23,ha,NG,49
2018-09-23,he,IL,36
2018-09-23,hi,IN,52
2018-09-23,ht,HT,296
2018-09-23,hu,HU,19
2018-09-23,id,ID,131
2018-09-23,it,IT,2718
2018-09-23,ja,JP,14
2018-09-23,mg,MG,545
2018-09-23,nb,NO,36
2018-09-23,nl,BE,59
2018-09-23,nl,NL,322
2018-09-23,pl,PL,41
2018-09-23,pt,BR,1483
2018-09-23,pt,PT,2685
2018-09-23,ro,RO,150
2018-09-23,ru,RU,110
2018-09-23,rw,RW,40
2018-09-23,so,SO,25
2018-09-23,sq,AL,21
2018-09-23,sv,SE,117
2018-09-23,sw,KE,148
2018-09-23,th,TH,55
2018-09-23,tr,TR,119
2018-09-23,tz,MA,31
2018-09-23,vi,VN,26
2018-09-23,zh,CN,40
2018-09-24,af,ZA,17
2018-09-24,ar,AR,4497
2018-09-24,az,AZ,20
2018-09-24,bg,BG,20
2018-09-24,bn,IN,36
2018-09-24,ca,ES,16
2018-09-24,da,DK,38
2018-09-24,de,DE,1023
2018-09-24,el,GR,42
2018-09-24,en,GB,10083
2018-09-24,en,US,37266
2018-09-24,es,ES,1315
2018-09-24,es,LA,1889
2018-09-24,fa,IR,14
2018-09-24,ff,NG,254
2018-09-24,fi,FI,17
2018-09-24,fr,CA,11955
2018-09-24,fr,FR,856843
2018-09-24,ha,NG,52
2018-09-24,he,IL,36
2018-09-24,hi,IN,52
2018-09-24,ht,HT,295
2018-09-24,hu,HU,19
2018-09-24,id,ID,129
2018-09-24,it,IT,2719
2018-09-24,ja,JP,14
